trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",25,7,-4.915653151165737,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",20,10,-25.64512657441681,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",35,22,20.97012373042466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",20,0,7.356015530085725,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",35,0,-18.843470512752013,"{0: 30, 1: 0, 2: 4, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",20,0,-37.974231995307186,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",25,14,19.80548722266837,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",25,12,-13.284460668129086,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",30,7,-78.05634195601682,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 2}",1
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",20,9,-65.70423779317855,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",25,11,-17.13905684543486,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,17,15.806075796199407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,0,-14.927439627718655,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,19,-31.931995606055914,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",35,0,-10.539020338625063,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",20,11,-24.52717380904686,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",25,11,-1.0076613839416246,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",20,0,29.971908265905174,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",20,13,-38.62538720253566,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",20,0,15.37648070259376,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",30,15,16.737781882593385,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",25,17,14.663153767955926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",25,11,7.988039657204863,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",20,3,8.65136465006377,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",20,0,-55.301735272453065,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",20,0,-64.98953948120548,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",25,0,9.106234649551375,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.1962915140230253}",20,0,-5.600654514114854,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.19432859888279505}",30,16,-1.3288084816215,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.1923853128939671}",20,0,-55.078500494991495,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.19046145976502743}",20,4,-23.080455043602623,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.18855684516737714}",20,3,-25.12802187427758,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",20,12,0.9889046280311442,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18480456394854633}",25,10,3.3835530052682268,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906087}",30,1,-15.63453709079251,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597027}",30,20,15.954267174232218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471056}",20,0,18.5633797507551,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17752252675876345}",25,0,36.891983287084386,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.17574730149117582}",30,9,10.897896696878439,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626407}",20,0,-27.73700446962412,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
